PARADA,NOMBRE,COMENTARIO,TIPO,ZONA,LATITUD,LONGITUD,MUNICIPIO,CODIGO_BARRIO,ID_LINEA,SENTIDO,FECHA
2489,ETRURIA-TROYA,"Etruria, 13",EXTERIOR,A,40.43792360089226,-3.610112928209239,MADRID,101,505,VUELTA,20240117
2491,LUCANO-FENELON,"Lucano, 38",EXTERIOR,A,40.43939672944626,-3.609230133496857,MADRID,101,48,VUELTA,20240117
2491,LUCANO-FENELON,"Lucano, 38",EXTERIOR,A,40.43939672944626,-3.609230133496857,MADRID,101,505,VUELTA,20240117
2491,LUCANO-FENELON,"Lucano, 38",EXTERIOR,A,40.43939672944626,-3.609230133496857,MADRID,101,140,VUELTA,20240117
2495,AVDA.MARQUES DE CORBERA-SANTA PRISCA,"Marqués de Corbera, 62 con  Sta Prisca",EXTERIOR,A,40.42918412811687,-3.648313331870768,MADRID,46,28,IDA,20240117
2498,Pº SAN ILLAN-Pº ERMITA SANTO,Pº de San Illán frente al Nº 9,EXTERIOR,A,40.40371306216165,-3.7231609309527904,MADRID,18,50,IDA,20240117
2503,VICTOR DE LA SERNA-AV.RAMON Y CAJAL,"Victor de la Serna, 2",EXTERIOR,A,40.45397292095436,-3.672669181804777,MADRID,29,52,IDA,20240117
2504,"VICTOR DE LA SERNA,16","Victor de la Serna, 16",EXTERIOR,A,40.45565284788473,-3.670386151128403,MADRID,29,52,IDA,20240117
2505,VICTOR SERNA-COLOMBIA,Victor de la Serna frente al Nº 31,EXTERIOR,A,40.45839114952462,-3.6704605463679054,MADRID,29,52,IDA,20240117
2506,PARAGUAY-COSTA RICA,"Paraguay, 8",EXTERIOR,A,40.46060743769301,-3.670447196298904,MADRID,30,52,IDA,20240117
2507,STA.Mª MAGDALENA-CTE.AZCARRAGA,"Santa María Magdalena, 8",EXTERIOR,A,40.46296002323266,-3.668677739861189,MADRID,30,52,IDA,20240117
2508,DRACENA Nº23,"Drácena, 23",EXTERIOR,A,40.46522756214611,-3.669148453708804,MADRID,30,52,VUELTA,20240117
2508,DRACENA Nº23,"Drácena, 23",EXTERIOR,A,40.46522756214611,-3.669148453708804,MADRID,30,52,IDA,20240117
2509,TORPEDERO TUCUMAN-ALFONSO XIII,"Torpedero Tucumán, 1",EXTERIOR,A,40.46241467644977,-3.672611844911159,MADRID,30,52,VUELTA,20240117
2510,PUERTO RICO,Puerto Rico S/N con C/ Guatemala,EXTERIOR,A,40.46059187806214,-3.673124422469053,MADRID,30,52,VUELTA,20240117
2511,PTO.RICO-COLOMBIA,Puerto Rico con C/ Colombia,EXTERIOR,A,40.45912288064404,-3.673215909563088,MADRID,30,52,VUELTA,20240117
2512,PTO.RICO-URUGUAY,"Puerto Rico, 23",EXTERIOR,A,40.457142323267846,-3.6729720534770927,MADRID,29,52,VUELTA,20240117
2513,PTO.RICO-AV.RAMON Y CAJAL,"Puerto Rico, 1",EXTERIOR,A,40.45413982479569,-3.673402043273188,MADRID,29,52,VUELTA,20240117
